"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При нажатии:
* кнопка должна становиться активной
* список должен прокручиваться на выбранную категорию","2522","Проверка работы кнопки ""Булки""","","Mon Jun 30 00:08:05 MSK 2025","passed","Mon Jun 30 00:08:08 MSK 2025","","Проверка работы кнопок ингредиентов конструктора","ru.yandex.praktikum.test.burgers.web.constructor.igredients.buttons.positive.ConstructorClickButtonsTest","shouldShowBunIngredientsTest"
"При нажатии:
* кнопка должна становиться активной
* список должен прокручиваться на выбранную категорию","2516","Проверка работы кнопки ""Начинка""","","Mon Jun 30 00:08:08 MSK 2025","passed","Mon Jun 30 00:08:10 MSK 2025","","Проверка работы кнопок ингредиентов конструктора","ru.yandex.praktikum.test.burgers.web.constructor.igredients.buttons.positive.ConstructorClickButtonsTest","shouldShowFillingIngredientsTest"
"Проверка возможности авторизации из разных начальных точек ","3530","Вход через кнопку в форме регистрации","","Mon Jun 30 00:08:20 MSK 2025","passed","Mon Jun 30 00:08:24 MSK 2025","","Авторизация пользователя","ru.yandex.praktikum.test.burgers.web.user.authorization.positive.AuthorizeUserTest","shouldAuthoriseUserTest[Вход через кнопку в форме регистрации]"
"Проверка возможности авторизации из разных начальных точек ","3494","Вход через кнопку в форме восстановления пароля","","Mon Jun 30 00:08:24 MSK 2025","passed","Mon Jun 30 00:08:27 MSK 2025","","Авторизация пользователя","ru.yandex.praktikum.test.burgers.web.user.authorization.positive.AuthorizeUserTest","shouldAuthoriseUserTest[Вход через кнопку в форме восстановления пароля]"
"Проверка возможности авторизации из разных начальных точек ","5697","Вход по кнопке «Войти в аккаунт» на главной","","Mon Jun 30 00:08:10 MSK 2025","passed","Mon Jun 30 00:08:16 MSK 2025","","Авторизация пользователя","ru.yandex.praktikum.test.burgers.web.user.authorization.positive.AuthorizeUserTest","shouldAuthoriseUserTest[Вход по кнопке «Войти в аккаунт» на главной]"
"Проверка возможности авторизации из разных начальных точек ","3871","Вход через кнопку «Личный кабинет»","","Mon Jun 30 00:08:16 MSK 2025","passed","Mon Jun 30 00:08:20 MSK 2025","","Авторизация пользователя","ru.yandex.praktikum.test.burgers.web.user.authorization.positive.AuthorizeUserTest","shouldAuthoriseUserTest[Вход через кнопку «Личный кабинет»]"
"При введении пароля длиной в 1-6 символов должна отображаться ошибка ""Некорректный пароль""","2402","Длина пароля: 1","","Mon Jun 30 00:08:27 MSK 2025","passed","Mon Jun 30 00:08:29 MSK 2025","","Попытка регистрации пользователя с паролем менее 6 символов","ru.yandex.praktikum.test.burgers.web.user.registration.negative.RegisterUserWithSmallPasswordTest","shouldDisplayPasswordErrorTest[0]"
"Проводится: 
* регистрация нового пользователя через web-интерфейс 
* проверка его создания через API","3146","Регистрация нового пользователя","","Mon Jun 30 00:08:34 MSK 2025","passed","Mon Jun 30 00:08:37 MSK 2025","","Регистрация нового пользователя","ru.yandex.praktikum.test.burgers.web.user.registration.positive.RegisterNewUserTest","shouldRegisterUserTest"
"При введении пароля длиной в 1-6 символов должна отображаться ошибка ""Некорректный пароль""","2343","Длина пароля: 4","","Mon Jun 30 00:08:29 MSK 2025","passed","Mon Jun 30 00:08:32 MSK 2025","","Попытка регистрации пользователя с паролем менее 6 символов","ru.yandex.praktikum.test.burgers.web.user.registration.negative.RegisterUserWithSmallPasswordTest","shouldDisplayPasswordErrorTest[1]"
"При нажатии:
* кнопка должна становиться активной
* список должен прокручиваться на выбранную категорию","4517","Проверка работы кнопки ""Соус""","","Mon Jun 30 00:08:01 MSK 2025","passed","Mon Jun 30 00:08:05 MSK 2025","","Проверка работы кнопок ингредиентов конструктора","ru.yandex.praktikum.test.burgers.web.constructor.igredients.buttons.positive.ConstructorClickButtonsTest","shouldShowSauceIngredientsTest"
"При введении пароля длиной в 1-6 символов должна отображаться ошибка ""Некорректный пароль""","2373","Длина пароля: 5","","Mon Jun 30 00:08:32 MSK 2025","passed","Mon Jun 30 00:08:34 MSK 2025","","Попытка регистрации пользователя с паролем менее 6 символов","ru.yandex.praktikum.test.burgers.web.user.registration.negative.RegisterUserWithSmallPasswordTest","shouldDisplayPasswordErrorTest[2]"
